"13637","Afghanistan","Government of Afghanistan","130","","IS","234","","1","Islamic State","2022","1","1","3","3"
"13637","Afghanistan","Government of Afghanistan","130","","IS","234","","1","Islamic State","2023","1","1","3","3"
"13637","Afghanistan","Government of Afghanistan","130","","IS","234","","1","Islamic State","2024","1","1","3","3"
"13638","Cameroon","Government of Cameroon","83","Government of Chad","IS","234","","1","Islamic State","2015","1","0","4","4"
"13638","Cameroon","Government of Cameroon","83","","IS","234","","1","Islamic State","2016","1","0","3","4"
"13638","Cameroon","Government of Cameroon","83","Government of Chad","IS","234","","1","Islamic State","2019","1","0","4","4"
"13638","Cameroon","Government of Cameroon","83","Government of Nigeria","IS","234","","1","Islamic State","2021","1","0","4","4"
"13638","Cameroon","Government of Cameroon","83","","IS","234","","1","Islamic State","2023","1","0","3","4"
"13639","Niger","Government of Niger","75","Government of Chad","IS","234","","1","Islamic State","2015","1","0","4","4"
"13639","Niger","Government of Niger","75","Government of Chad, Government of Nigeria","IS","234","","1","Islamic State","2016","1","0","4","4"
"13639","Niger","Government of Niger","75","Government of Chad, Government of France, Government of United States of America","IS","234","","1","Islamic State","2017","1","0","4","4"
"13639","Niger","Government of Niger","75","Government of France, Government of United States of America","IS","234","","1","Islamic State","2018","1","0","4","4"
"13639","Niger","Government of Niger","75","Government of Chad, Government of France, Government of United States of America","IS","234","","1","Islamic State","2019","1","1","4","4"
"13639","Niger","Government of Niger","75","Government of Chad, Government of France, Government of United States of America","IS","234","","1","Islamic State","2020","1","1","4","4"
"13639","Niger","Government of Niger","75","Government of Chad, Government of France, Government of United States of America","IS","234","","1","Islamic State","2021","1","1","4","4"
"13639","Niger","Government of Niger","75","Government of Chad, Government of France, Government of United States of America","IS","234","","1","Islamic State","2022","1","1","4","4"
"13639","Niger","Government of Niger","75","Government of France","IS","234","","1","Islamic State","2023","1","1","4","4"
"13639","Niger","Government of Niger","75","","IS","234","","1","Islamic State","2024","1","1","3","4"
"13640","Chad","Government of Chad","87","","IS","234","","1","Islamic State","2015","1","0","3","4"
"13640","Chad","Government of Chad","87","","IS","234","","1","Islamic State","2017","1","0","3","4"
"13640","Chad","Government of Chad","87","","IS","234","","1","Islamic State","2018","1","0","3","4"
"13640","Chad","Government of Chad","87","","IS","234","","1","Islamic State","2019","1","0","3","4"
"13640","Chad","Government of Chad","87","","IS","234","","1","Islamic State","2020","1","0","3","4"
"13640","Chad","Government of Chad","87","","IS","234","","1","Islamic State","2021","1","0","3","4"
"13640","Chad","Government of Chad","87","","IS","234","","1","Islamic State","2022","1","0","3","4"
"13641","Nigeria","Government of Nigeria","84","Government of Cameroon, Government of Chad, Government of Niger","IS","234","","1","Islamic State","2015","2","1","4","4"
"13641","Nigeria","Government of Nigeria","84","Government of Cameroon, Government of Chad, Government of Niger","IS","234","","1","Islamic State","2016","2","1","4","4"
"13641","Nigeria","Government of Nigeria","84","Government of Chad","IS","234","","1","Islamic State","2017","1","1","4","4"
"13641","Nigeria","Government of Nigeria","84","Government of Cameroon, Government of Chad, Government of Niger","IS","234","","1","Islamic State","2018","1","1","4","4"
"13641","Nigeria","Government of Nigeria","84","Government of Cameroon, Government of Chad, Government of Niger","IS","234","","1","Islamic State","2019","2","1","4","4"
"13641","Nigeria","Government of Nigeria","84","Government of Cameroon, Government of Chad, Government of Niger","IS","234","","1","Islamic State","2020","2","1","4","4"
"13641","Nigeria","Government of Nigeria","84","Government of Cameroon, Government of Chad, Government of Niger","IS","234","","1","Islamic State","2021","2","1","4","4"
"13641","Nigeria","Government of Nigeria","84","Government of Cameroon, Government of Chad, Government of Niger","IS","234","","1","Islamic State","2022","2","1","4","4"
"13641","Nigeria","Government of Nigeria","84","Government of Cameroon, Government of Niger","IS","234","","1","Islamic State","2023","2","1","4","4"
"13641","Nigeria","Government of Nigeria","84","Government of Niger","IS","234","","1","Islamic State","2024","2","1","4","4"
"13645","Yemen (North Yemen)","Government of Yemen (North Yemen)","123","","IS","234","","1","Islamic State","2015","1","0","3","2"
"13645","Yemen (North Yemen)","Government of Yemen (North Yemen)","123","","IS","234","","1","Islamic State","2017","1","0","3","2"
